Daerah,Nama Kuliner,Bahan Utama (mis: beras),Bahan pengganti (mis: sagu),"Bahan pelengkap (mis: serundeng, ikan asin)","Bumbu Utama dominan (mis: kelapa, daun pandan, daun jeruk)","Bentuk dan tekstur (mis: nasi pulen, ikan empuk)",Cara memasak khusus (mis: dengan tungku),Cara penyajian khusus (mis: dengan daun pisang),Deskripsikan Aroma lebih detail,Deskripsikan Rasa lebih detail,Apa rasa dominan kuliner tersebut ?,Level Pedas kuliner lokal di bawah ini,Level Gurih kuliner lokal di bawah ini ,Level Manis kuliner lokal di bawah ini,Level Asin kuliner lokal di bawah ini,Level Asam kuliner lokal di bawah ini ,Bagaimana aroma kuliner tersebut?,Nutrisi dari makanan,Tekstur makanan (mudah dikunyah/ tingkat kelembutan makanan),Penggunaan bahan alami,Kesegaran makanan,Kebersihan makanan,Status halal makanan
,Mie cakalang,"Mie, ikan cakalang suwir",Tidak ada,"Bawang goreng, daun bawang, sawi hijau, sayur kol","Bawang putih, bawang merah, daun bawang, garam, penyedap rasa/ kaldu jamur","Berkuah, sedikit berminyak, tekstur mie yang kenyal",Tidak ada,Tidak ada,"Aroma ikan cakalang yang khas, dan bau bawang-bawangan","Rasa ikan cakalang yang khas dan dominan, kuah yang gurih, dan rasa bawang putih yang kuat",Gurih dengan dominan bumbuu rempah tertentu,1,4,1,1,1,Aroma rempah yang sedang,2,3,2,2,4,Halal
Pamekasan,Nasi jajan,"Daging sapi, beras",-,"serundeng, potongan daging sapi, telur rebus, irisan kentang goreng, ",serundeng,"dendeng sapi krispi, kuah santan kental",tdk ada,penyajian menggunakan daun pisang,aroma bumbu yang sangat khas ,rasanya gurih asin dan sedikit manis,Asin dengan dominan bumbu rempah tertentu,2,4,3,2,1,Aroma rempah yang kuat,4,3,4,4,5,Halal
Pekanbaru,Gulai Patin,Ikan Patin,Ikan Baung,"kecombrang, daung singkong, kacang panjang, jengkol","santan, dqun kunyit, daun salam, lada, kaldu bubuk, bawang merah, bawang putih, cabe merah keriting, jahe, kunyit, kemiri, cabe rawit, daun kunyit, ketumbar","kuah kuning pekat santan, lembut, potongan kecil",Tidak ada,Tidak ada,"Ikan Patin, santan, bumbu khas melayu","gurih, ",Pedas dengan dominan bumbu rempah tertentu,4,3,1,2,4,Aroma rempah yang kuat,4,5,5,5,5,Halal
,Ikan Salai, Ikan Selais,"Ikan Salai Patin, Ikan Salai Baung",,"bawang merah, bawang putih, cabe merah, tomat","kriyuk, empuk, krenyes","di gulai, di goreng balado",Tidak ada,"ikan salai, cabe, santan",pedas,Gurih penyedap,2,2,1,2,1,Agak berbau khas tertentu,4,3,5,2,5,Halal
,Asam Pedas Baung,Ikan Baung,Ikan Patin,,"jeruk nipis, daun salam, daun jeruk, sereh geprek, daun kunyit, tahu, pare, bawang merah, bawang putih, jahe, lengkuas, kemiri, kunyit, cabe merah, asam belimbing","potongan kecil, kuah merah cabe encer, lembut",tidak ada,,"ikan baung, asam","gurih, pedas, asam",Asin dengan dominan bumbu rempah tertentu,3,3,1,2,4,Aroma rempah yang kuat,4,5,5,5,5,Halal
Purwokerto,Mendoan,Tempe,Tidak ada,Sambal kecap,Bawang putih (rempah rempah),Lebar dam besar,Penggorengan dengan minyak panas,Disajikan dengan besek (take away) dan bisa juga daun pisang,wangi rempah yang khas,rasanya gurih,Gurih dengan dominan bumbuu rempah tertentu,3,3,1,3,1,Aroma rempah yang kuat,5,5,5,5,5,Halal
,Getuk goreng,singkong,tidak ada,minuman,gula jawa,bulat lembut berserat,,besek,harum khas gula jawa dengan singkong,manis,"Manis dengan dominan rasa tertentu (coklat, vanila, srikaya, aren)",1,2,5,1,1,Tidak beraroma,5,5,5,5,5,Tidak halal
Solo,Timlo Solo,Daging Ayam,,Bawang Goreng ,Kaldu Ayam ,Kuah Bening ,Kompor,dengan mangkuk ,Aroma Kaldu Ayam ,Rasa Gurih Kaldu Ayam ,Gurih dengan dominan bumbuu rempah tertentu,1,5,1,4,1,Aroma rempah yang sedang,3,3,4,4,5,Halal
Aceh,Sanger,Arabica,Robusta,Susu kental manis,-,Cair,-,-,Khas kopi bercampur susu,Pahit bercampur manis (50:50),"Manis dengan dominan rasa tertentu (coklat, vanila, srikaya, aren)",1,1,3,1,1,Agak berbau khas tertentu,4,5,5,5,5,Halal
,Boh itek teupeulemak,Telur bebek,-,"Irisan/potongan belimbing wuluh, cabai hijau","Asam sunti, cabai, kelapa, jahe, belimbing wuluh, bawang putih, serai","Berkuah (agak kental), empuk",-,-,Khas santan bercampur belimbing,"Gurih, agak asam khas belimbing, agak pedas",Pedas dengan dominan bumbu rempah tertentu,2,3,1,2,2,Aroma rempah yang sedang,4,5,4,5,5,Halal
,Keumamah,Ikan tongkol,-,"Cabai hijau, daun kari, kentang","Asam sunti, cabai, jahe, bawang","Irisan kecil dan tipis, agak keras",-,-,Khas asam sunti,"Agak pedas dan gurih, agak asam khas asam sunti",Pedas dengan dominan bumbu rempah tertentu,3,3,1,2,2,Aroma rempah yang sedang,4,3,4,5,5,Halal
,Mie aceh,Mie kuning/mie basah,-,"Telur, aneka seafood, acar bawang","Rempah-rempah, cabai, bawang","Agak basah (berkuah), lembut",-,-,Khas rempah ,Gurih dan pedas,Pedas dengan dominan bumbu rempah tertentu,3,4,2,2,2,Aroma rempah yang kuat,4,5,4,5,5,Halal
,Asam keu'eung,Ikan bandeng,Udang,Irisan/potongan belimbing wuluh,"Asam sunti, cabai, kunyit, belimbing wuluh, bawang, ketumbar, jeruk nipis","Cair, empuk",-,-,Khas belimbing wuluh,"Segar, asam khas belimbing wuluh, pedas",Pedas dengan dominan bumbu rempah tertentu,4,4,2,2,5,Agak berbau khas tertentu,4,5,4,5,5,Halal
Payakumbuh,Pongek cubadak,cubadak/nangka,ikan (pongek lapuak),tidak ada,"santan,kunyit",empuk,cubadak diungkap 1 hari sebelum disajikan,tidak ada,bumbu rempah,rasa nangka dengan perpaduan bumbu rempah,Pedas dengan dominan bumbu rempah tertentu,3,3,1,2,2,Agak berbau khas tertentu,2,2,4,5,5,Halal
,Telur dadar,telur,tidak ada,tidak ada,"bawang, cabe",bundar,tidak ada,tidak ada,aroma bawang,rasa telur gurih dengan bawang,Asin dengan dominan bumbu rempah tertentu,2,2,1,2,1,Aroma rempah yang sedang,4,2,4,5,5,Halal
,Dendeng,daging sapi,kerbau,tidak ada,"cabe, jahe",empuk dan renyah,tidak ada,tidak ada,aroma daging dan rempah,rasa daging dan rempah,Gurih dengan dominan bumbuu rempah tertentu,3,3,1,2,1,Aroma rempah yang sedang,4,2,4,5,5,Halal
,Ayam pop,daging ayam,tidak ada,tidak ada,bumbu rempah,empuk,tidak ada,tidak ada,aroma khas rempah,aroma perpaduan rempah,Gurih dengan dominan bumbuu rempah tertentu,2,3,1,2,1,Aroma rempah yang kuat,4,2,4,5,5,Halal
,Palai bada,ikan bada,tidak ada,kelapa parut mentah,"kelapa parut,cabe",empuk,dimasak dengan daun dan dipanggang,dibungkus daun,aroma bumbu dan daun yang dibakar,pedas gurih,Pedas dengan dominan bumbu rempah tertentu,3,3,1,2,1,Agak berbau khas tertentu,3,2,4,5,5,Halal
,Ayam bumbu,ayam,tidak ada,kelapa parut rendang,cabe dan jahe,renyah,tidak ada,tidak ada,aroma gurih ayam dan kelapa parut,renyah gurih,Asin dengan dominan bumbu rempah tertentu,2,2,1,2,1,Aroma rempah yang kuat,4,2,4,5,5,Halal
,Sambal lado jariang,jengkol,petai,cabe hijau,cabe hijau ,empuk ,tidak ada,tidak ada,aroma jengkol den cabe hijau,nikmat pedas,Pedas dengan dominan bumbu rempah tertentu,3,3,1,2,1,Aroma rempah yang sedang,2,2,4,5,5,Halal
,Dadar barendo,telur,tidak ada,bawang,bawang,bundar dan renyah,tidak ada,tidak ada,aroma bawang,gurih,Asin dengan dominan bumbu rempah tertentu,2,2,1,2,1,Aroma rempah yang sedang,4,2,4,5,5,Halal
Samarinda,Nasi kuning,Beras,Tidak ada,"ayam, daging, telur, ikan, bihun, bumbu habang, bawang goreng","cabai merah, gula merah, kunyit, santan","bumbu habang kental, nasi pulen, lauk empuk",Tidak ada,Dibungkus dengan daun pisang,"Aroma bumbu khas rempah yang sedang, nasi beraroma khas santan","Rasa nasi gurih dan asin, rasa bumbu habang yang gurih cenderung manis",Manis dengan rasa gula yang kuat,3,4,4,3,1,Aroma rempah yang sedang,3,3,4,3,4,Halal
,Lontong sayur,Beras,Tidak ada,"ayam, daging, ikan, telur, bumbu habang, kuah santan bersayur","santan, cabai merah, gula merah","kuah santan agak kental, lontong lembut, lauk empuk, bumbu habang kental ",Tidak ada,Tidak ada,"Aroma bumbu khas rempah yang sedang, aroma kuah khas santan",Rasa kuah santan yang asin dan gurih dengan paduan bumbu habang yang gurih cenderung manis,Gurih dengan dominan bumbuu rempah tertentu,3,4,3,3,1,Aroma rempah yang sedang,3,3,4,3,4,Halal
Ternate,Sayur garu,"daun kasbi(ubi), bunga pepaya, jantung pisang",tidak ada,tidak ada,"bawang merah, bawang putih, cabai, penyedap rasa",bentuknya irisan kecil-kecil dan teksturnya mudah dikunyah,tidak ada,tidak ada,aroma rempah yang sedang,gurih dengan dominan bumbu tertentu,Gurih dengan dominan bumbuu rempah tertentu,2,5,1,1,1,Aroma rempah yang sedang,5,5,4,5,5,Halal
,Papeda,sagu pohon dan sagu kasbi,tidak ada,air panas (air mendidih),tidak ada,teksturnya lengket dan mudah ditelan,tidak ada,tidak ada,agak berbau khas,rasanya tawar,Gurih dengan dominan bumbuu rempah tertentu,1,5,1,1,1,Agak berbau khas tertentu,3,2,4,5,5,Halal
,Ikan kuah kuning,"ikan guropa, ikan bubara (ikan dasar)",ikan dasar jenis lain,tidak ada,"bawang merah, bawang putih, lemon, daun serai, cabai, kunyit, penyedap rasa",potongan besar-besar dan teksturnya empuk dan juga mdah dikunyah,tidak ada,tidak ada,aroma rempah yang sedang ,gurih dengan dominan bumbu tertentu ,Gurih dengan dominan bumbuu rempah tertentu,2,5,1,1,3,Aroma rempah yang sedang,5,5,4,5,5,Halal
,Kuah soru,ikan julung(ikan tore),tidak ada,terong rebus ,"lemon, bawang merah, tomat dan penyedap rasa",kuahnya bening agak kecoklatan dan tekstur ikannya agak keras,tidak ada,tidak ada,aroma rempah yang sedang,gurih dengan dominan bumbu tertentu,Gurih dengan dominan bumbuu rempah tertentu,2,5,1,1,3,Aroma rempah yang sedang,3,2,4,5,5,Halal
Yogyakarta,gaplek,tidak ada,parutan kelapa,"gula pasir, garam","potong kecil, gaplek kenyal",dengan tungku,dengan besek(rajutan bambu) ,aroma gaplek sedikit kecut,"rasa manis gula pasir, gurih parutan kelapa",Manis dengan rasa gula yang kuat,1,2,3,2,1,Agak berbau khas tertentu,3,3,4,3,3,Halal,
,tepung gaplek,tidak ada,parutan kelapa,"gula merah, garam","butiran kecil, kenyal",dengan tungku,dengan besek (rajutan bambu) ,aroma alami singkong,"rasa manis gula merah, gurih parutan kelapa",Manis dengan rasa gula yang kuat,1,2,3,2,1,Agak berbau khas tertentu,3,3,4,2,3,Halal,
,singkong,tidak ada,tidak ada,"gula pasir, garam","bulat kecil, empuk",tidak ada,dengan besek (rajutan bambu) ,tidak ada,rasa manis gula pasir dan gurih parutan kelapa kukus,Manis dengan rasa gula yang kuat,1,1,2,2,1,Tidak beraroma,3,2,4,2,3,Halal,
,belalang,tidak ada,tidak ada,"bawang merah, gula merah, garam","belalang utuh, renyah",tidak ada,toples kecil,aroma alami belalang,"rasa gurih, manis gula merah",Manis dengan rasa gula yang kuat,1,3,2,2,1,Agak berbau khas tertentu,4,3,4,3,3,Halal,
,"jahe, gula batu, secang",tidak ada,"kayu manis, cengkeh, daun pala, biji kapulaga","jahe, gula batu",cair,tidak ada,paper bag dilapisi plastik pack,aroma wangi cengkeh,"rasa pedas jahe, manis gula batu",Manis dengan rasa gula yang kuat,2,1,2,1,1,Agak berbau khas tertentu,2,1,3,2,2,Halal,
,beras merah,tidak ada,tidak ada,tidak ada,"biji beras utuh, empuk",tidak ada,dengan besek (rajutan bambu) ,tidak ada,rasa sedikit manis alami,"Manis dengan dominan rasa tertentu (coklat, vanila, srikaya, aren)",1,1,1,1,1,Tidak beraroma,4,2,3,4,3,Halal,
Bandar Lampung,Lapis Legit,"Telur, tepung, mentega",tidak ada,"kayu manis, kapulaga, bunga pala, dan adas manis",Gula,berlapis-lapis dipotong persegi/kotak dan tekstur yang lembut,"menggunakan oven, jika masak tradisional dipanggang dibawah arang dengan waktu memasak hampir 8 jam",hanya dipanggan menggunakan loyang kue saja,aroma lebih cenderung ke aroma telur yang kuat dan bumbu pelengkap yang kuat,rasa manis dari gula yang kuat,Manis dengan rasa gula yang kuat,1,1,5,1,1,Agak berbau khas tertentu,5,5,5,5,5,Halal
,Sekubal,ketan,tidak ada,tidak ada,santan,berbentuk bulat seperti lontong akan tetapi agak sedikit besar ukurannya dan memiliki tekstur  yang kenyal,cara memasaknya adalah dikukus,penyajiannya dibungkus menggunakan daun pisang,tidak memiliki aroma,rasa gurih dari santan,Gurih dengan dominan bumbuu rempah tertentu,1,3,1,2,1,Tidak beraroma,2,5,5,5,5,Halal
,Pie Pisang,pisang,tidak ada,"keju, coklat, dan rasa lainnya","gula, mentega, dan tepung",dicetak seperti bentuk buah pisang dan memiliki tektur yang krispi dan pisang yang lembut,dipanggan seperti biasa,penyajiannya dimasukkan kedalam kotak dengan isi beraneka ragam sesua permintaan pelanggan,aroma kue yang kuat dan bau coklat serta keju yang kuat,"rasanya manis dari pisang dan coklat, dan ada sedikit asin dari adonan kuenya","Manis dengan dominan rasa tertentu (coklat, vanila, srikaya, aren)",1,2,5,2,1,Agak berbau khas tertentu,5,5,5,5,5,Halal
Banjarnegara,Mendoan,Tempe,Tidak ada,"Daun bawang, tepung terigu, bumbu mendoan(garam, bawang putih,kunyit,ketumbar,kemiri)","Ketumbar,kunyit,kemiri","Lebar dan tipis, teksturnya mendo (lembek/setengah matang)","Tidak ada, menggunakan kompor gas biasa",Disajikan dengan sambal kecap dan varian semut ( penambahan cabai pada adonan tepung mendoan),Aroma ketumbar dan kunyit pada mendoan sangat kuat pada bumbu yang digunakan di adonan tepung,"Rasanya gurih,asin dan aroma rempah-rempahnya kuat. ",Asin dengan dominan bumbu rempah tertentu,3,4,1,1,1,Aroma rempah yang kuat,2,4,4,3,4,Halal
Kendari,Sinonggi,sagu,kanji,"ikan,  kuah ikan, sayur, perkadel,  sambel,  jeruk nipis.","bawang putih,  bawang merah,  cabai,  serai, ","tekstur kenyal,  lengket agak menyerupai lem. tetapi jika adondan dimasukkan kedalam air tidak lengket namu licin. dan biasa dibentuk bulat seperti bakso. ",tidak ada,menggunakan sumpit,aroma rempah yang sedang tetapi tindak meninggalakan bau kahs dari sagu itu sendiri,"untuk adonan sagu itu sendiri cenderung lebih tawar,  namu biasanya orang-orang mengomsumsi makanan tersebut dengan daging ikan,  kuah ikan,  sayur,  perkdael dll sehingga rasa akan menjadi lebih nikmat, gurih,  dan pedas",,,,,,,,,,,,,
,Ikan Dole,ikan tenggiri,tidak ada,"cabai,  lada,  banwang putih,  bawang merah,  parutan kelapa","parutan kelapa,  bawang putih,  bawang merah dan lada",tekstur daging ikan sendiri sangat lembut dan renyah. dan biasa dibentuk menyerupai perkadel,tidak ada,tidak ada,aroma rempah yang kuat,"untuk rasa ikan dole ini tidak meninggalkan rasa khasnya yaitu,  daging ikan yang lembut serta sedikit manis. ditambah dengan campuran bumu-bumbu penyedap akan semakin menyempurnakan rasa ikan dole tersebut. ",,,,,,,,,,,,,
Lubuklinggau,Pempek,ikan tenggiri,"ikan kakap, ikan sapu - sapu, ikan gabus, ikan belido, tanpa ikan ","cuka, udang rebon, timun","ikan giling, tepung tapioka / sagu tani, telur, bawang putih, telur","berbentuk bulat, lenjer atau lonjong, pipih, tekstur kenyal","goreng, rebus",disajikan di piring dan di makan dengan cuka,tidak beraroma,rasa guring yang berasal dari ikan giling segar,Gurih penyedap,1,5,1,3,1,Tidak beraroma,4,3,5,5,5,Halal
,Model,ikan tenggiri,"ikan kakap, ikan sapu - sapu, ikan gabus, ikan belido, tanpa ikan ","udang rebon, timun, daun sop, bunga sedap malam, jamur kuping, bengkuang, bihun","ikan giling, tepung tapioka / sagu tani, tahu, telur, bawang putih, telur, lada hitam, udang rebon atau udang segar","berbentuk bulat kecil - kecil, tektur kenyal",rebus,model disajikan dimangkok dan dipotong kecil serta disiram dengan kuahnyah,kuah model beraroma udang dan segar ,"tekwan terasa guring yang berasal dari ikan, dan kuahnya juga terasa gurih yang berasal dari kaldu udang ",Gurih dengan dominan bumbuu rempah tertentu,2,4,1,3,1,Aroma rempah yang sedang,4,3,4,5,5,Halal
,Tekwan,ikan tenggiri giling,"ikan kakap, ikan sapu - sapu, ikan gabus, ikan belido, tanpa ikan ","udang rebon, timun, daun sop, bunga sedap malam, jamur kuping, bengkuang, bihun","ikan giling, tepung tapioka / sagu tani, telur, bawang putih, telur, lada hitam, udang rebon atau udang segar","berbentuk bulat besar, tektur kenyal",rebus,tekwan disajikan di mangkok dan disiram dengan kuahnya,kuah model beraroma udang dan segar ,"model terasa guring yang berasal dari ikan, dan kuahnya juga terasa gurih yang berasal dari kaldu udang ",Pedas dengan dominan bumbu rempah tertentu,2,5,1,3,1,Tidak beraroma,4,3,4,4,5,Halal
,Mie Celor,mie kuning basah,-,"telur rebus, daun sop, kerupuk atau emping, bawang goreng, touge","santan, udang segar, bawang merah, bawang putih kemiri, lada putih, air jeruk nipis, daun jeruk, tepung maizena","tektur mie kenyal, tidak terlalu lembut",rebus,disajikan dimangkok dan ditambah dengan potongan telur rebus serta emping,beraroma udang dan rempah yang tidak terlalu kuat,mie celor terasa guring karena ada pencampuran antara santan dan udang yang tercampur dikuahnya,Gurih penyedap,1,5,1,3,1,Tidak beraroma,4,3,5,4,5,Halal
,Rujak Mie,mie kuning basah,mie instan,"cuka, pempek, tahu goreng, kerupuk merah, timun, udang rebon",,"tektur mie kenyal, tidak terlalu lembut",-,"disajikan dimangkok dengan potongan pempek, tahu, mie dan disiram dengan cuka diatasnya ditambah kerupuk merah",tidak beraroma,rasanya gurih dan karena disajikan dengan cuka yang banyak sehingga terasa sedikit pendas,Gurih dengan dominan bumbuu rempah tertentu,2,5,1,3,1,Aroma rempah yang sedang,4,3,5,5,5,Halal
,Lenggang,ikan tenggiri giling,"ikan kakap, ikan sapu - sapu, ikan gabus, ikan belido, tanpa ikan ","cuka, udang rebon, timun","ikan giling, tepung tapioka / sagu tani, telur, bawang putih, telur","berbentuk lingkaran pipih, atau berbentuk kotak ","bakar, goreng",lengang disajikan di piring dan diberi potongan timun dan taburan udang rebon serta disiram cuka ,beraroma telur gurih karena proses pengorengan pempek yang dicampur dengan telur,rasa guring yang berasal dari ikan giling segar dan juga terasa telur yang dominan,Gurih dengan dominan bumbuu rempah tertentu,2,5,1,3,1,Aroma rempah yang sedang,4,3,5,5,5,Halal
Jakarta,Nasi Uduk,Beras,-,"Tahu, telur, empal, sambal kacang",Santan,Renyah dan gurih,dikukus,dimasukan daun pisang,gurih dan wangi taburan bawang goreng,Gurih dan lezat nasi uduk,Pedas dengan dominan bumbu rempah tertentu,1,2,1,1,1,Aroma rempah yang sedang,2,3,5,5,4,Halal
,Kue Lopis,Beras ketan,-,Parutan kelapa dan Gula aren,gula aren dan kelapa,empuk dan manis,direbus,dibentuk segitiga,Kue lupis punya aroma khas dan rasa yang legit,"empuk, durih, manis dan bentuknya segitiga",Manis dengan rasa gula yang kuat,1,1,5,1,1,Tidak beraroma,2,4,5,5,4,Halal
